NOMEEMPRESA,PORTE,MEI,CNPJ,DS_LOGRADOURO,DS_NUMERO,DS_COMPLEMENTO,NO_BAIRRO,NR_CEP,NO_MUNICIPIO,DS_ATIVIDADE
NAME00000011,EPP,,36408656001100,AVENIDA CORONEL JOSÉ MARTINS DE FIGUEIREDO,325,LOJA 04;LOJA 05;,TABUAZEIRO,29043405.0,VITÓRIA,RESTAURANTES E SIMILARES
NAME00000012,EPP,,36408656001200,RUA DR EURICO DE AGUIAR,888,SALA 1204 - ED. METROPOLITAN OFFICE,SANTA LUCIA,29000000.0,VITÓRIA,CONSTRUÇÃO DE RODOVIAS E FERROVIAS
NAME00000013,ME,N,36408656001300,RUA SANTA TEREZINHA,776,,CRISTÓVÃO COLOMBO,29106570.0,VILA VELHA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL"
NAME00000014,EPP,,36408656001400,AVENIDA NOSSA SENHORA DA PENHA,1320,QUADRA 3,BELA VISTA,29360000.0,CASTELO,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000015,ME,,36408656001500,AV. JONES DOS SANTOS NEVES,418,,KM 90,29312300.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES"
NAME00000016,ME,,36408656001600,R ANGELO BORGO,756,: 2 ANDAR; SALA: 1/C;,JARDIM GUADALAJARA,29109015.0,VILA VELHA,COMÉRCIO VAREJISTA DE TECIDOS
NAME00000017,ME,,36408656001700,CONJUNTO PLACIDO  BARCELOS,906,BL 9,ARIBIRI,29000000.0,VILA VELHA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000018,ME,,36408656001800,RUA RIO MARMORE,7,,HELIO FERRAZ,29160630.0,SERRA,COMÉRCIO VAREJISTA DE LIVROS
NAME00000019,ME,,36408656001900,AV FERNANDO FERRARI,2655,BOX 05,GOIABEIRAS,29075052.0,VITÓRIA,"ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILARES"
NAME00000020,ME,,36408656002000,RUA DESEMBARGADOR CASSIANO CASTELO,435,1 PAV.,GOIABEIRAS,29075045.0,VITÓRIA,FOTOCÓPIAS
NAME00000021,ME,,36408656002100,RUA DANIEL ABREU MACHADO,S/N,A,ITARARE,,VITÓRIA,COMÉRCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000022,ME,,36408656002200,ROD OTOVARINO DUARTE SANTOS,SN,KM 03,PEDRA D AGUA,29930000.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000023,ME,,36408656002300,RUA ALFA II,S/N,LAGO DOS CISNES FUNDOS,FATIMA,29930000.0,SÃO MATEUS,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS"
NAME00000024,ME,,36408656002400,RUA MANOEL CARLOS DE MIRANDA,88,SALA 002,CARAPINA,29160001.0,SERRA,ADMINISTRAÇÃO DE OBRAS
NAME00000025,ME,,36408656002500,AVENIDA WALDEMIRO NITZ,59,,SERRA PELADA,29603000.0,AFONSO CLÁUDIO,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00000026,ME,N,36408656002600,RUA LUCIANO DAS NEVES,279,LOJA: 01 E 02,CENTRO DE VILA VELHA,29100201.0,VILA VELHA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00000027,ME,,36408656002700,RUA SANTA TERESA,71,,IBES,29108530.0,VILA VELHA,COMÉRCIO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES
NAME00000028,ME,,36408656002800,RUA ANTONIO SANTOS,35,LOJA 01,MARUIPE,29043032.0,VITÓRIA,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA
NAME00000029,ME,,36408656002900,RUA ARTHUR LEMKE,113,,CARAMURU,29645000.0,SANTA MARIA DE JETIBÁ,COM	RCIO A VAREJO DE PEAS E ACESSRIOS PARA MOTOCICLETAS E MOTONETAS
NAME00000030,ME,,36408656003000,RUA SANTA TEREZINHA,1731,SALA 102,GLORIA,29122041.0,VILA VELHA,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA
NAME00000031,EPP,N,36408656003100,RUA MILTON DE CASTRO MATTOS,40,,JABOUR,29072250.0,VITÓRIA,FABRICAÇÃO DE ARTIGOS DE VIDRO
NAME00000032,ME,,36408656003200,RUA EDUARDO FAIRICH,41,B,NOSSA SENHORA DA PENHA,29110100.0,VILA VELHA,FABRICAÇÃO DE ALIMENTOS PARA ANIMAIS
NAME00000033,ME,,36408656003300,AV LUIZ TARQUINIO PONTES,1700,SALA 202CENTRO COMERCIAL ATLANTICO NORTE,VILAS DO ALTANTICO,42700000.0,LAURO DE FREITAS,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000034,ME,N,36408656003400,AVENIDA CACHOEIRO DE ITAPEMIRIM,960,,ARAÇÁ,29901395.0,LINHARES,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO
NAME00000035,ME,,36408656003500,RUA MESTRE GOMES,302,,GLORIA,29122100.0,VILA VELHA,FABRICAÇÃO DE ESQUADRIAS DE MADEIRA E DE PEÇAS DE MADEIRA PARA INSTALAÇÕES INDUSTRIAIS E COMERCIAIS
NAME00000036,ME,N,36408656003600,RUA LUCIDATO VIEIRA FALCAO,28,,DO CABRAL,29027310.0,VITÓRIA,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA
NAME00000037,ME,S,36408656003700,RUA GOIANIA,1740,LOJA 01,ITAPUA,29101780.0,VILA VELHA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00000038,ME,N,36408656003800,AVENIDA SATURNINO RANGEL MAURO,225,,PRAIA DE ITAPARICA,29102035.0,VILA VELHA,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000039,ME,,36408656003900,RUA TRINTA E QUATRO,5,LOJA,SANTA MONICA,29105540.0,VILA VELHA,LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR
NAME00000040,ME,N,36408656004000,LOCALIDADE CLAROS DIAS,S/N,,ZONA RURAL,29295000.0,VARGEM ALTA,EXTRAÇÃO DE MÁRMORE E BENEFICIAMENTO ASSOCIADO
NAME00000041,ME,N,36408656004100,RUA Maria Durão Gama,196,,Canivete,29909060.0,LINHARES,"FABRICAÇÃO DE ESCOVAS, PINCÉIS E VASSOURAS"
NAME00000042,ME,N,36408656004200,AVENIDA ALICE COUTINHO SANTOS,1815,,MARACANA,29142887.0,CARIACICA,COMÉRCIO ATACADISTA DE GÁS LIQÜEFEITO DE PETRÓLEO (GLP)
NAME00000043,ME,,36408656004300,RUA DOUTOR JOSE FRANCISCO MONJARDIM,108,1 PAVIMENTO,SANTA CECILIA,29043221.0,VITÓRIA,"FABRICAÇÃO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL"
NAME00000044,EPP,N,36408656004400,AVENIDA HUMBERTO DONATO,391,,SANTANA,29960000.0,CONCEIÇÃO DA BARRA,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, MUNICIPAL"
NAME00000045,ME,,36408656004500,RUA GRACIANO NEVES,99,LOJA 10,CENTRO,29015330.0,VITÓRIA,COMÉRCIO VAREJISTA DE BEBIDAS
NAME00000046,EPP,N,36408656004600,RUA ALFREDO MONTIBELLER,3,,Alvorada,29117250.0,VILA VELHA,"IMPRESSÃO DE LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS"
NAME00000047,ME,,36408656004700,AV GOIANIA,21,LOJA,SERRA DOURADA II,29171201.0,SERRA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
NAME00000048,ME,N,36408656004800,AVENIDA DOUTOR MILTON DAVID,317,LOJA 03,REIS MAGOS,29182360.0,SERRA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00000049,ME,N,36408656004900,AV SENADOR ROBERT KENNEDY,156,,SAO TORQUATO,29114000.0,VILA VELHA,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
NAME00000050,ME,N,36408656005000,AVENIDA LOURIVAL NUNES,1504, EDIF TRES IRMAOS LOJA 02,JARDIM LIMOEIRO,29164050.0,SERRA,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS-FERRAMENTA
NAME00000051,ME,N,36408656005100,RUA PROJETADA,SN,,UNIVERSAL,29130000.0,VIANA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000052,ME,,36408656005200,AV MARUIPE,682,LOJA 01,SANTA CECILIA,29043270.0,VITÓRIA,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
NAME00000053,ME,,36408656005300,AVENIDA LAURO FERREIRA PINTO,62,,CENTRO,29240000.0,ALFREDO CHAVES,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS"
NAME00000054,ME,N,36408656005400,AVENIDA RAUTA,472,,ALVORADA,29230000.0,ANCHIETA,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL"
NAME00000055,ME,N,36408656005500,RUA FLORANIA,79,LOJA 01,NOVA AMERICA,29111860.0,VILA VELHA,FABRICAÇÃO DE EMBALAGENS DE MATERIAL PLÁSTICO
NAME00000056,EPP,,36408656005600,RUA ARTHUR LEMKE,126,,CARAMURU,29645000.0,SANTA MARIA DE JETIBÁ,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
NAME00000057,ME,,36408656005700,RUA JACI DE OLIVEIRA,306,LD 10,PRAIA DO MORRO,29215640.0,GUARAPARI,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO
NAME00000058,EPP,N,36408656005800,RUA ALEIXO NETO,636,LOJA 01,PRAIA DO CANTO,29057200.0,VITÓRIA,COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS
NAME00000059,EPP,,36408656005900,AV VISTA ALEGRE,170,,CENTRO,29927000.0,SOORETAMA,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
NAME00000060,EPP,,36408656006000,RUA MONSENHOR GUILHERME SCHMITZ,931,,SERNAMBI,29930660.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS
NAME00000061,ME,N,36408656006100,AVENIDA LEITAO DA SILVA,1900,SALA 103,SANTA LUCIA,29056190.0,VITÓRIA,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO
NAME00000062,ME,,36408656006200,RUA HORACY AMARANTES MATTOS,22,,AEROPORTO,29314125.0,CACHOEIRO DE ITAPEMIRIM,FABRICAÇÃO DE ESTRUTURAS METÁLICAS
NAME00000063,EPP,,36408656006300,RUA D PEDRO II,121,LOJA A,GLORIA,29122220.0,VILA VELHA,"CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
NAME00000064,ME,N,36408656006400,RUA DARCY GRIJO,50,ED. MADISON OFFICE TOWER ;SALA 414,JARDIM DA PENHA,29060350.0,VITÓRIA,OPERADORES TURÍSTICOS
NAME00000065,EPP,N,36408656006500,AVENIDA COMENDADOR RAFAEL,1295,,CENTRO,29900000.0,LINHARES,COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL
NAME00000066,ME,,36408656006600,RUA E,1,,SANTANA,29154350.0,CARIACICA,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
NAME00000067,EPP,N,36408656006700,AVENIDA PRESIDENTE GETULIO VARGAS,168,,CENTRO,29390000.0,IÚNA,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
NAME00000068,ME,,36408656006800,AVENIDA MUNIR ABULD,673,LOJA F,PRAIA DO MORRO,29200000.0,GUARAPARI,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00000069,ME,,36408656006900,RUA MAJOR PISSARRA,178,,CENTRO,29176020.0,SERRA,COMÉRCIO VAREJISTA DE LIVROS
NAME00000070,ME,,36408656007000,RUA MELQUIADES PEREIRA MARTINS,89,,SAO JUDAS TADEU,29200000.0,GUARAPARI,COMÉRCIO VAREJISTA DE TECIDOS
NAME00000071,ME,,36408656007100,RUA TIMOTEO,307,,ITAIPAVA,29338000.0,ITAPEMIRIM,COMÉRCIO VAREJISTA DE TECIDOS
NAME00000072,ME,,36408656007200,RUA DR EURICO DE AGUIAR,201,455,PRAIA DO CANTO,29280510.0,VITÓRIA,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, INTERESTADUAL"
NAME00000073,ME,,36408656007300,RUA JOSE RICARDO,181,LOJA 4,IBES,29108500.0,VILA VELHA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00000074,EPP,,36408656007400,AVENIDA DANTE MICHELINI,4655,LOJA 01;,JARDIM CAMBURI,29090070.0,VITÓRIA,Comércio varejista de mercadorias em lojas de conveniência
NAME00000075,ME,,36408656007500,AV LOURIVAL NUNES,501,,JARDIM LIMOEIRO,29164050.0,SERRA,FABRICAÇÃO DE ARTEFATOS DE BORRACHA NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000076,ME,N,36408656007600,AV RUI BARBOSA,593,,Centro,29900000.0,LINHARES,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO
NAME00000077,EPP,N,36408656007700,RUA CORONEL ANTONIO MARINS,78,,CENTRO,29300122.0,CACHOEIRO DE ITAPEMIRIM,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE ELETRODOMÉSTICOS, MÓVEIS E ARTIGOS DE USO DOMÉSTICO"
NAME00000078,ME,N,36408656007800,AVENIDA QUINTINO BOCAIVA,208,,INTERLAGOS,29903204.0,LINHARES,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA
NAME00000079,EPP,N,36408656007900,COMUNIDADE DE CALOGI,SN,FAZENDA PAHALA;,CALOGI,29181102.0,SERRA,CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE
NAME00000080,ME,N,36408656008000,AV PRESIDENTE VARGAS,348,,Centro,29680000.0,JOÃO NEIVA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA
NAME00000081,ME,,36408656008100,AV DESEMBARGADOR DERMEVAL LYRIO,20,"EDIF. RIP CENTER II, LOJA 04",MATA DA PRAIA,29065340.0,VITÓRIA,CASAS LOTÉRICAS
NAME00000082,EPP,N,36408656008200,RUA REILLY DUARTE,S/N,LOJA 2,CIVIT II,29165680.0,SERRA,SERVIÇOS DE FUNERÁRIAS
NAME00000083,ME,,36408656008300,AV EXPEDITO GARCIA,27,,CAMPO GRANDE,29146201.0,CARIACICA,COMÉRCIO VAREJISTA DE CALÇADOS
NAME00000084,ME,,36408656008400,AV AMYNTAS OSORIO DE MATOS,112, TERREO,NITEROI,29390000.0,IÚNA,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES
NAME00000085,ME,,36408656008500,AV VEREADOR MANASSES DOS REIS,32,,NOVO HORIZONTE,29902000.0,LINHARES,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA
NAME00000086,ME,,36408656008600,RUA DOM JOAO BATISTA,13,QD 3,NOVO MEXICO,29104190.0,VILA VELHA,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES"
NAME00000087,ME,,36408656008700,RUA ROBERTO LUIS,3,,VASCO DA GAMA,29140000.0,CARIACICA,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
NAME00000088,ME,,36408656008800,AV MINISTRO SALGADO FILHO,675,SALA 09,SOTECO,29106000.0,VILA VELHA,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA"
NAME00000089,ME,,36408656008900,RUA DOS INHAMBUS,12,,PORTO CANOA,29168430.0,SERRA,"FABRICAÇÃO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS"
NAME00000090,ME,,36408656009000,AV PRESIDENTE CASTELO BRANCO,111,,CENTRO,29780000.0,SÃO GABRIEL DA PALHA,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00000091,EPP,,36408656009100,AVENIDA SALVADOR,72,,CENTRO,29970000.0,PEDRO CANÁRIO,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
NAME00000092,ME,,36408656009200,AV JONES DOS SANTOS NEVES,96,,OTTO MARINS,29300000.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA DE VIDROS
NAME00000093,ME,,36408656009300,RODOVIA ENGENHEIRO FABIANO VIVACQUA,499,,MARBRASA,29313656.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES
NAME00000094,ME,,36408656009400,ESTRADA DE MELGAÇO,S/N,,MELGAÇO,29276000.0,DOMINGOS MARTINS,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00000095,ME,,36408656009500,RUA JAIR ANDRADE,550,,ITAPOA,29100700.0,VILA VELHA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00000096,ME,S,36408656009600,AVENIDA CASTELO BRANCO,763,,VILA LANDINHA,29800000.0,BARRA DE SÃO FRANCISCO,COMÉRCIO VAREJISTA DE BEBIDAS
NAME00000097,ME,,36408656009700,RODOVIA CARLOS LINDENBERG,1895,GALPAO,SANTA INES,29108075.0,VILA VELHA,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES
NAME00000098,ME,,36408656009800,RUA D. PEDRO II,61,LOJA 02,GLORIA,29122300.0,VILA VELHA,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
NAME00000099,ME,,36408656009900,RUA ALFREDO MARUN MASSAD,12,,ESPLANADA,29360000.0,CASTELO,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA
NAME00000100,ME,,36408656010000,RUA AURORA,66,,GLORIA,29122220.0,VILA VELHA,"CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
NAME00000101,ME,N,36408656010100,AVENIDA JONES DOS SANTOS NEVES,468,,CENTRO,29900100.0,LINHARES,COMÉRCIO VAREJISTA DE ANTIGÜIDADES
NAME00000102,ME,N,36408656010200,RUA EURICO DE AGUIAR SALLES,244,TERREO,CENTRO,29190180.0,ARACRUZ,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00000103,ME,N,36408656010300,AVENIDA SANTA LEOPOLDINA,2173,LOJA: C,PRAIA DE ITAPARICA,29102040.0,VILA VELHA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000104,ME,,36408656010400,RUA CADETE RUFINO,18,,ILHA DE SANTA MARIA,29051025.0,VITÓRIA,CHAVEIROS
NAME00000105,ME,,36408656010500,RUA MIGUEL DA PAIXAO VASCONCELLOS,69,TERREO,SANTO AGOSTINHO,29360000.0,CASTELO,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
NAME00000106,ME,N,36408656010600,ROD DO SOL,20,,MEAIPE,29208005.0,GUARAPARI,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
NAME00000107,ME,,36408656010700,RUA PRESIDENTE LIMA,559,FUNDOS,CENTRO,29100330.0,VILA VELHA,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL"
NAME00000108,ME,,36408656010800,RUA CORONEL VITORINO,S/N,,CENTRO,29230000.0,ANCHIETA,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS"
NAME00000109,ME,,36408656010900,RUA SAINT TROPEZ,198,,PRAIA DO MORRO,29216170.0,GUARAPARI,"ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA"
NAME00000110,ME,,36408656011000,AV. ADALBERTO SIMAO NADER,1729,LOJA 01,BAIRRO REPUBLICA,29000000.0,VITÓRIA,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000111,EPP,,36408656011100,RUA GUARA,2,,LAGOA FUNDA,29220060.0,GUARAPARI,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES
NAME00000112,ME,,36408656011200,RUA PRINCIPAL,S/N,KM 41,NESTOR GOMES,29942000.0,JOÃO NEIVA,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS"
NAME00000113,ME,,36408656011300,RUA PRINCIPAL,S/N,KM 41,NESTOR GOMES,29942000.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE BEBIDAS
NAME00000114,EPP,,36408656011400,AVENIDA EXPEDITO GARCIA,1404,SALA 302-C,CAMPO GRANDE,29146201.0,CARIACICA,Comércio varejista especializado de equipamentos e suprimentos de informática
NAME00000115,EPP,,36408656011500,RUA DOS CRAVOS,112,CONJUNTO A,FEU ROSA,29172105.0,SERRA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000116,ME,N,36408656011600,RUA JERONIMO MONTEIRO,80,,IRIRI,29230000.0,ANCHIETA,HOTÉIS
NAME00000117,ME,,36408656011700,RUA QUATRO,336,SALA 102,SANTA MONICA,29105240.0,VILA VELHA,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000118,ME,,36408656011800,AV MARECHAL CAMPOS,945,,LOURDES,29040091.0,VITÓRIA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00000119,ME,,36408656011900,AV ABIDO SAADI,255,LOJA 03,JACARAIPE,29173180.0,SERRA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00000120,ME,,36408656012000,RUA SANTA TEREZINHA,383,,GLORIA,29106000.0,VILA VELHA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00000121,ME,,36408656012100,PCA COSTA PEREIRA,168,ED VITOR MEIRELES  S 202,CENTRO,29010080.0,VITÓRIA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA
NAME00000122,ME,,36408656012200,RUA DAS EMAS,31,FRENTE,PORTO CANOA,29168600.0,SERRA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000123,ME,,36408656012300,R PROFESSORA OCARLINA DRUMOND DE CARVALHO,280,,MARIA ORTIZ,29070000.0,VITÓRIA,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
